candidate_id,job_id,total_experience_years,education_level,skills_list,certification_count,project_count,job_fit_label
C00000,J001,,,"React,Kubernetes,JavaScript,SQL,C++",,4,0
C00001,J002,2.7,,"Swift,React,Go,Node.js,Python,Kotlin,GCP",1.0,6,1
C00002,J001,4.3,B.Sc,"Angular,Kubernetes,Node.js",0.0,6,1
C00003,J003,6.0,M.Tech,"C++,Java,React,Django",,2,0
C00004,J003,2.5,Diploma,"C++,HTML,GCP,React,Docker",3.0,4,1
C00005,J001,,Diploma,"Flask,Kotlin,Node.js",0.0,2,1
C00006,J002,6.2,B.Tech,,5.0,5,1
C00007,J004,4.5,High School,"SQL,JavaScript,HTML",,4,0
C00008,J001,,,"GCP,Node.js,Flask",0.0,3,1
C00009,J002,4.1,M.Tech,"Django,Azure,CSS",,3,0
C00010,J003,2.1,B.Sc,,1.0,1,0
C00011,J001,2.1,PhD,"JavaScript,Kubernetes,AWS,HTML,Node.js,GCP,Swift",4.0,4,0
C00012,J004,,M.Sc,"Go,Azure,Kubernetes,SQL,React",,1,1
C00013,J001,0.0,,,4.0,2,1
C00014,J004,0.0,,"Swift,CSS,SQL,GCP,Kubernetes,HTML",3.0,4,1
C00015,J001,,,"SQL,React,CSS,GCP,Go",1.0,4,0
C00016,J001,,,"Python,C++,React,HTML,Swift,GCP,Go",1.0,4,0
C00017,J004,3.6,,"GCP,AWS,JavaScript,CSS,Django,SQL",0.0,5,0
C00018,J002,1.2,High School,"C++,HTML,Kubernetes,GCP,React,CSS,Java",4.0,2,0
C00019,J003,,Diploma,"React,Node.js,Kotlin,JavaScript,Django",,3,0
C00020,J002,5.9,M.Tech,"JavaScript,Angular,C++,React,Docker",2.0,2,1
C00021,J001,,M.Sc,"Django,SQL,JavaScript,Node.js,Docker,Go,Java",,5,0
C00022,J003,3.1,,"Node.js,Java,C++,Swift,Kubernetes,Python",0.0,3,0
C00023,J004,0.2,,,4.0,1,1
C00024,J001,1.9,,,4.0,6,0
C00025,J002,,B.Sc,,5.0,6,0
C00026,J004,0.7,,,1.0,1,0
C00027,J003,,M.Sc,"Kotlin,GCP,Flask,Python,SQL,Go,JavaScript",1.0,5,1
C00028,J004,1.8,,"SQL,Kotlin,CSS,Node.js,Java,Angular,GCP",0.0,5,0
C00029,J003,2.4,,,5.0,4,1
C00030,J004,,M.Sc,"Kubernetes,Docker,Django,Kotlin",4.0,1,1
C00031,J004,,B.Sc,,4.0,6,1
C00032,J002,3.0,Diploma,,4.0,1,1
C00033,J004,,,"JavaScript,Python,SQL,Swift",1.0,2,1
C00034,J004,4.6,M.Sc,"GCP,Flask,Go,Azure,Swift,AWS,Node.js",,2,1
C00035,J004,0.6,M.Sc,,,3,1
C00036,J002,,M.Sc,"C++,Swift,Docker,Flask",4.0,4,1
C00037,J001,0.0,,"Kotlin,AWS,Python,Angular,Django,Kubernetes,CSS",3.0,5,0
